	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
1	1,e-003	2,8554e-032	2,8554e-032	2,8554e-032	
2	2,e-003	1,5802e-032	1,5802e-032	1,5802e-032	
3	3,e-003	5,4284e-032	5,4284e-032	5,4284e-032	
4	4,e-003	5,647e-032	5,647e-032	5,647e-032	
5	5,e-003	1,3359e-032	1,3359e-032	1,3359e-032	
6	6,e-003	7,0095e-032	7,0095e-032	7,0095e-032	
7	7,e-003	2,7982e-032	2,7982e-032	2,7982e-032	
8	8,e-003	8,742e-032	8,742e-032	8,742e-032	
9	9,e-003	1,6093e-031	1,6093e-031	1,6093e-031	
10	1,e-002	1,1613e-031	1,1613e-031	1,1613e-031	
11	1,1e-002	1,2872e-031	1,2872e-031	1,2872e-031	
12	1,2e-002	1,7539e-031	1,7539e-031	1,7539e-031	
13	1,3e-002	1,5976e-031	1,5976e-031	1,5976e-031	
14	1,4e-002	2,1446e-031	2,1446e-031	2,1446e-031	
15	1,5e-002	2,7271e-031	2,7271e-031	2,7271e-031	
16	1,6e-002	2,3987e-031	2,3987e-031	2,3987e-031	
17	1,7e-002	3,1282e-031	3,1282e-031	3,1282e-031	
18	1,8e-002	3,2537e-031	3,2537e-031	3,2537e-031	
19	1,9e-002	3,4154e-031	3,4154e-031	3,4154e-031	
20	2,e-002	3,9862e-031	3,9862e-031	3,9862e-031	
21	2,1e-002	4,2947e-031	4,2947e-031	4,2947e-031	
22	2,2e-002	4,6663e-031	4,6663e-031	4,6663e-031	
23	2,3e-002	5,1222e-031	5,1222e-031	5,1222e-031	
24	2,4e-002	5,391e-031	5,391e-031	5,391e-031	
25	2,5e-002	5,8174e-031	5,8174e-031	5,8174e-031	
26	2,6e-002	6,3703e-031	6,3703e-031	6,3703e-031	
27	2,7e-002	6,6426e-031	6,6426e-031	6,6426e-031	
28	2,8e-002	7,4186e-031	7,4186e-031	7,4186e-031	
29	2,9e-002	7,6599e-031	7,6599e-031	7,6599e-031	
30	3,e-002	8,1755e-031	8,1755e-031	8,1755e-031	
31	3,1e-002	8,961e-031	8,961e-031	8,961e-031	
32	3,2e-002	9,0821e-031	9,0821e-031	9,0821e-031	
33	3,3e-002	9,9069e-031	9,9069e-031	9,9069e-031	
34	3,4e-002	1,0592e-030	1,0592e-030	1,0592e-030	
35	3,5e-002	1,0955e-030	1,0955e-030	1,0955e-030	
36	3,6e-002	1,1637e-030	1,1637e-030	1,1637e-030	
37	3,7e-002	1,2452e-030	1,2452e-030	1,2452e-030	
38	3,8e-002	1,2779e-030	1,2779e-030	1,2779e-030	
39	3,9e-002	1,3676e-030	1,3676e-030	1,3676e-030	
40	4,e-002	1,4439e-030	1,4439e-030	1,4439e-030	
41	4,1e-002	1,4831e-030	1,4831e-030	1,4831e-030	
42	4,2e-002	1,5931e-030	1,5931e-030	1,5931e-030	
43	4,3e-002	1,643e-030	1,643e-030	1,643e-030	
44	4,4e-002	1,7279e-030	1,7279e-030	1,7279e-030	
45	4,5e-002	1,8081e-030	1,8081e-030	1,8081e-030	
46	4,6e-002	1,8857e-030	1,8857e-030	1,8857e-030	
47	4,7e-002	1,9659e-030	1,9659e-030	1,9659e-030	
48	4,8e-002	2,0619e-030	2,0619e-030	2,0619e-030	
49	4,9e-002	4,9422e-017	4,9422e-017	4,9422e-017	
50	5,e-002	1,0557e-003	1,0557e-003	1,0557e-003	
51	5,1e-002	2,4158e-002	2,4158e-002	2,4158e-002	
52	5,2e-002	8,5409e-002	8,5409e-002	8,5409e-002	
53	5,3e-002	0,14813	0,14813	0,14813	
54	5,4e-002	0,18731	0,18731	0,18731	
55	5,5e-002	0,22282	0,22282	0,22282	
