	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	0,3	1,9232	44,951	
2	0,6	1,9232	44,95	
3	0,9	1,9232	44,949	
4	1,2	1,9232	44,948	
5	1,5	1,9233	44,947	
6	1,8	1,9233	44,946	
7	2,1	1,9233	44,945	
8	2,4	1,9234	44,944	
9	2,7	1,9235	44,943	
10	3,	1,9235	44,942	
11	3,3	1,9236	44,94	
12	3,6	1,9237	44,939	
13	3,9	1,9238	44,938	
14	4,2	1,9239	44,937	
15	4,5	1,924	44,936	
16	4,8	1,9241	44,935	
17	5,1	1,9242	44,934	
18	5,4	1,9244	44,933	
19	5,7	1,9245	44,932	
20	6,	1,9246	44,931	
21	6,3	1,9248	44,93	
22	6,6	1,925	44,929	
23	6,9	1,9251	44,928	
24	7,2	1,9253	44,926	
25	7,5	1,9255	44,925	
26	7,8	1,9257	44,924	
27	8,1	1,9259	44,923	
28	8,4	1,9261	44,922	
29	8,7	1,9263	44,921	
30	9,	1,9265	44,92	
31	9,3	1,9267	44,919	
32	9,6	1,927	44,918	
33	9,9	1,9272	44,917	
34	10,2	1,9275	44,916	
35	10,5	1,9277	44,915	
36	10,8	1,928	44,914	
37	11,1	1,9283	44,912	
38	11,4	1,9285	44,911	
39	11,7	1,9288	44,91	
40	12,	1,9291	44,909	
41	12,3	1,9294	44,908	
42	12,6	1,9297	44,907	
43	12,9	1,9301	44,906	
44	13,2	1,9304	44,905	
45	13,5	1,9307	44,904	
46	13,8	1,9311	44,903	
47	14,1	1,9314	44,902	
48	14,4	1,9318	44,901	
49	14,7	1,9321	44,9	
50	15,	1,9325	44,898	
51	15,3	1,9329	44,897	
52	15,6	1,9333	44,896	
53	15,9	1,9337	44,895	
54	16,2	1,9341	44,894	
55	16,5	1,9345	44,893	
56	16,8	1,9349	44,892	
57	17,1	1,9353	44,891	
58	17,4	1,9358	44,89	
59	17,7	1,9362	44,889	
60	18,	1,9367	44,888	
61	18,3	1,9371	44,887	
62	18,6	1,9376	44,885	
63	18,9	1,9381	44,884	
64	19,2	1,9385	44,883	
65	19,5	1,939	44,882	
66	19,8	1,9395	44,881	
67	20,1	1,94	44,88	
68	20,4	1,9405	44,879	
69	20,7	1,9411	44,878	
70	21,	1,9416	44,877	
71	21,3	1,9421	44,876	
72	21,6	1,9427	44,875	
73	21,9	1,9432	44,873	
74	22,2	1,9438	44,872	
75	22,5	1,9444	44,871	
76	22,8	1,9449	44,87	
77	23,1	1,9455	44,869	
78	23,4	1,9461	44,868	
79	23,7	1,9467	44,867	
80	24,	1,9473	44,866	
81	24,3	1,948	44,865	
82	24,6	1,9486	44,864	
83	24,9	1,9492	44,863	
84	25,2	1,9499	44,861	
85	25,5	1,9505	44,86	
86	25,8	1,9512	44,859	
87	26,1	1,9519	44,858	
88	26,4	1,9525	44,857	
89	26,7	1,9532	44,856	
90	27,	1,9539	44,855	
91	27,3	1,9546	44,854	
92	27,6	1,9553	44,853	
93	27,9	1,9561	44,851	
94	28,2	1,9568	44,85	
95	28,5	1,9575	44,849	
96	28,8	1,9583	44,848	
97	29,1	1,959	44,847	
98	29,4	1,9598	44,846	
99	29,7	1,9606	44,845	
100	30,	1,9613	44,844	
101	30,3	1,9621	44,843	
102	30,6	1,9629	44,841	
103	30,9	1,9637	44,84	
104	31,2	1,9646	44,839	
105	31,5	1,9654	44,838	
106	31,8	1,9662	44,837	
107	32,1	1,9671	44,836	
108	32,4	1,9679	44,835	
109	32,7	1,9688	44,834	
110	33,	1,9696	44,833	
111	33,3	1,9705	44,831	
112	33,6	1,9714	44,83	
113	33,9	1,9723	44,829	
114	34,2	1,9732	44,828	
115	34,5	1,9741	44,827	
116	34,8	1,975	44,826	
117	35,1	1,976	44,825	
118	35,4	1,9769	44,823	
119	35,7	1,9779	44,822	
120	36,	1,9788	44,821	
121	36,3	1,9798	44,82	
122	36,6	1,9808	44,819	
123	36,9	1,9818	44,818	
124	37,2	1,9828	44,817	
125	37,5	1,9838	44,815	
126	37,8	1,9848	44,814	
127	38,1	1,9858	44,813	
128	38,4	1,9869	44,812	
129	38,7	1,9879	44,811	
130	39,	1,989	44,81	
131	39,3	1,9901	44,809	
132	39,6	1,9911	44,807	
133	39,9	1,9922	44,806	
134	40,2	1,9933	44,805	
135	40,5	1,9944	44,804	
136	40,8	1,9956	44,803	
137	41,1	1,9967	44,802	
138	41,4	1,9978	44,8	
139	41,7	1,999	44,799	
140	42,	2,0001	44,798	
141	42,3	2,0013	44,797	
142	42,6	2,0025	44,796	
143	42,9	2,0037	44,795	
144	43,2	2,0049	44,793	
145	43,5	2,0061	44,792	
146	43,8	2,0073	44,791	
147	44,1	2,0085	44,79	
148	44,4	2,0098	44,789	
149	44,7	2,011	44,787	
150	45,	2,0123	44,786	
151	45,3	2,0136	44,785	
152	45,6	2,0149	44,784	
153	45,9	2,0161	44,783	
154	46,2	2,0175	44,781	
155	46,5	2,0188	44,78	
156	46,8	2,0201	44,779	
157	47,1	2,0214	44,778	
158	47,4	2,0228	44,777	
159	47,7	2,0242	44,775	
160	48,	2,0255	44,774	
161	48,3	2,0269	44,773	
162	48,6	2,0283	44,772	
163	48,9	2,0297	44,771	
164	49,2	2,0311	44,769	
165	49,5	2,0326	44,768	
166	49,8	2,034	44,767	
167	50,1	2,0355	44,766	
168	50,4	2,0369	44,764	
169	50,7	2,0384	44,763	
170	51,	2,0399	44,762	
171	51,3	2,0414	44,761	
172	51,6	2,0429	44,759	
173	51,9	2,0444	44,758	
174	52,2	2,046	44,757	
175	52,5	2,0475	44,756	
176	52,8	2,0491	44,754	
177	53,1	2,0507	44,753	
178	53,4	2,0523	44,752	
179	53,7	2,0539	44,751	
180	54,	2,0555	44,749	
181	54,3	2,0571	44,748	
182	54,6	2,0587	44,747	
183	54,9	2,0604	44,745	
184	55,2	2,0621	44,744	
185	55,5	2,0637	44,743	
186	55,8	2,0654	44,742	
187	56,1	2,0671	44,74	
188	56,4	2,0688	44,739	
189	56,7	2,0706	44,738	
190	57,	2,0723	44,736	
191	57,3	2,0741	44,735	
192	57,6	2,0758	44,734	
193	57,9	2,0776	44,733	
194	58,2	2,0794	44,731	
195	58,5	2,0812	44,73	
196	58,8	2,0831	44,729	
197	59,1	2,0849	44,727	
198	59,4	2,0868	44,726	
199	59,7	2,0886	44,725	
200	60,	2,0905	44,723	
201	60,3	2,0924	44,722	
202	60,6	2,0943	44,721	
203	60,9	2,0962	44,719	
204	61,2	2,0982	44,718	
205	61,5	2,1001	44,717	
206	61,8	2,1021	44,715	
207	62,1	2,1041	44,714	
208	62,4	2,1061	44,712	
209	62,7	2,1081	44,711	
210	63,	2,1101	44,71	
211	63,3	2,1122	44,708	
212	63,6	2,1142	44,707	
213	63,9	2,1163	44,706	
214	64,2	2,1184	44,704	
215	64,5	2,1205	44,703	
216	64,8	2,1226	44,701	
217	65,1	2,1248	44,7	
218	65,4	2,1269	44,699	
219	65,7	2,1291	44,697	
220	66,	2,1313	44,696	
221	66,3	2,1335	44,694	
222	66,6	2,1357	44,693	
223	66,9	2,138	44,691	
224	67,2	2,1402	44,69	
225	67,5	2,1425	44,689	
226	67,8	2,1448	44,687	
227	68,1	2,1471	44,686	
228	68,4	2,1494	44,684	
229	68,7	2,1518	44,683	
230	69,	2,1541	44,681	
231	69,3	2,1565	44,68	
232	69,6	2,1589	44,678	
233	69,9	2,1613	44,677	
234	70,2	2,1638	44,675	
235	70,5	2,1662	44,674	
236	70,8	2,1687	44,672	
237	71,1	2,1712	44,671	
238	71,4	2,1737	44,669	
239	71,7	2,1762	44,668	
240	72,	2,1787	44,666	
241	72,3	2,1813	44,665	
242	72,6	2,1839	44,663	
243	72,9	2,1865	44,662	
244	73,2	2,1891	44,66	
245	73,5	2,1918	44,658	
246	73,8	2,1944	44,657	
247	74,1	2,1971	44,655	
248	74,4	2,1998	44,654	
249	74,7	2,2025	44,652	
250	75,	2,2053	44,651	
251	75,3	2,208	44,649	
252	75,6	2,2108	44,647	
253	75,9	2,2136	44,646	
254	76,2	2,2165	44,644	
255	76,5	2,2193	44,643	
256	76,8	2,2222	44,641	
257	77,1	2,2251	44,639	
258	77,4	2,228	44,638	
259	77,7	2,2309	44,636	
260	78,	2,2339	44,634	
261	78,3	2,2369	44,633	
262	78,6	2,2399	44,631	
263	78,9	2,2429	44,629	
264	79,2	2,246	44,628	
265	79,5	2,2491	44,626	
266	79,8	2,2522	44,624	
267	80,1	2,2553	44,622	
268	80,4	2,2584	44,621	
269	80,7	2,2616	44,619	
270	81,	2,2648	44,617	
271	81,3	2,268	44,615	
272	81,6	2,2713	44,614	
273	81,9	2,2746	44,612	
274	82,2	2,2779	44,61	
275	82,5	2,2812	44,608	
276	82,8	2,2846	44,607	
277	83,1	2,2879	44,605	
278	83,4	2,2913	44,603	
279	83,7	2,2948	44,601	
280	84,	2,2982	44,599	
281	84,3	2,3017	44,597	
282	84,6	2,3053	44,596	
283	84,9	2,3088	44,594	
284	85,2	2,3124	44,592	
285	85,5	2,316	44,59	
286	85,8	2,3196	44,588	
287	86,1	2,3233	44,586	
288	86,4	2,3269	44,584	
289	86,7	2,3307	44,582	
290	87,	2,3344	44,58	
291	87,3	2,3382	44,578	
292	87,6	2,342	44,576	
293	87,9	2,3458	44,574	
294	88,2	2,3497	44,572	
295	88,5	2,3536	44,57	
296	88,8	2,3576	44,568	
297	89,1	2,3615	44,566	
298	89,4	2,3655	44,564	
299	89,7	2,3696	44,562	
300	90,	2,3736	44,56	
301	90,3	2,3777	44,558	
302	90,6	2,3819	44,556	
303	90,9	2,386	44,554	
304	91,2	2,3902	44,552	
305	91,5	2,3945	44,55	
306	91,8	2,3988	44,548	
307	92,1	2,4031	44,546	
308	92,4	2,4074	44,543	
309	92,7	2,4118	44,541	
310	93,	2,4162	44,539	
311	93,3	2,4207	44,537	
312	93,6	2,4252	44,535	
313	93,9	2,4297	44,532	
314	94,2	2,4343	44,53	
315	94,5	2,4389	44,528	
316	94,8	2,4436	44,525	
317	95,1	2,4483	44,523	
318	95,4	2,453	44,521	
319	95,7	2,4578	44,518	
320	96,	2,4626	44,516	
321	96,3	2,4675	44,514	
322	96,6	2,4724	44,511	
323	96,9	2,4773	44,509	
324	97,2	2,4823	44,507	
325	97,5	2,4873	44,504	
326	97,8	2,4924	44,502	
327	98,1	2,4975	44,499	
328	98,4	2,5027	44,497	
329	98,7	2,5079	44,494	
330	99,	2,5132	44,492	
331	99,3	2,5185	44,489	
332	99,6	2,5239	44,486	
333	99,9	2,5293	44,484	
334	100,2	2,5347	44,481	
335	100,5	2,5403	44,479	
336	100,8	2,5458	44,476	
337	101,1	2,5514	44,473	
338	101,4	2,5571	44,47	
339	101,7	2,5628	44,468	
340	102,	2,5686	44,465	
341	102,3	2,5744	44,462	
342	102,6	2,5803	44,459	
343	102,9	2,5862	44,457	
344	103,2	2,5922	44,454	
345	103,5	2,5983	44,451	
346	103,8	2,6044	44,448	
347	104,1	2,6105	44,445	
348	104,4	2,6168	44,442	
349	104,7	2,6231	44,439	
350	105,	2,6294	44,436	
351	105,3	2,6358	44,433	
352	105,6	2,6423	44,43	
353	105,9	2,6488	44,427	
354	106,2	2,6554	44,424	
355	106,5	2,6621	44,421	
356	106,8	2,6688	44,417	
357	107,1	2,6756	44,414	
358	107,4	2,6825	44,411	
359	107,7	2,6894	44,408	
360	108,	2,6965	44,404	
361	108,3	2,7035	44,401	
362	108,6	2,7107	44,398	
363	108,9	2,7179	44,394	
364	109,2	2,7252	44,391	
